oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time,lag_ave_other,ave_profit,cum_mean_others
6884,65,2575,55,3,0,3,not,2020-11-26T18:37:33Z,65,4792.944444444444,65
6884,55,3175,60,3,0,4,not,2020-11-26T18:39:33Z,55,4792.944444444444,60
6884,60,4650,65,3,0,5,not,2020-11-26T18:41:29Z,60,4792.944444444444,60
6884,60,2250,55,3,0,6,not,2020-11-26T18:43:25Z,65,4792.944444444444,61.25
6884,60,5700,70,3,0,7,not,2020-11-26T18:45:28Z,55,4792.944444444444,60
6884,65,5487,68,3,0,8,not,2020-11-26T18:47:37Z,70,4792.944444444444,61.666666666666664
6884,65,5683,69,3,0,9,not,2020-11-26T18:49:43Z,68,4792.944444444444,62.57142857142857
6884,65,3307,58,3,0,10,not,2020-11-26T18:51:34Z,69,4792.944444444444,63.375
6884,65,3775,60,3,0,11,not,2020-11-26T18:53:29Z,58,4792.944444444444,62.77777777777778
6884,65,4875,65,3,0,12,not,2020-11-26T18:55:26Z,60,4792.944444444444,62.5
6884,65,5779.5,69.5,3,0,13,not,2020-11-26T18:57:21Z,65,4792.944444444444,62.72727272727273
6884,65,3775,60,3,0,14,not,2020-11-26T18:59:26Z,69.5,4792.944444444444,63.291666666666664
6884,65,5875,70,3,0,15,not,2020-11-26T19:01:22Z,60,4792.944444444444,63.03846153846154
6884,65,4875,65,3,0,16,not,2020-11-26T19:03:23Z,70,4792.944444444444,63.535714285714285
6884,65,6515.5,73.5,3,0,17,not,2020-11-26T19:05:21Z,65,4792.944444444444,63.63333333333333
6884,65,5585.5,68.5,3,0,18,not,2020-11-26T19:07:29Z,73.5,4792.944444444444,64.25
6884,65,5875,70,3,0,19,not,2020-11-26T19:09:24Z,68.5,4792.944444444444,64.5
6884,65,6515.5,73.5,3,0,20,not,2020-11-26T19:11:36Z,70,4792.944444444444,64.80555555555556
7434,80,3028,54,3,1,3,randomly,2020-11-26T18:37:27Z,69,4291.123263888889,69
7434,55,5155.5,68.5,3,1,4,randomly,2020-11-26T18:39:49Z,54,4291.123263888889,61.5
7434,60,7172,78,3,4,5,randomly,2020-11-26T18:41:32Z,68.5,4291.123263888889,63.833333333333336
7434,70,6000,70,3,4,6,randomly,2020-11-26T18:43:32Z,78,4291.123263888889,67.375
7434,70,3322,57,3,3,7,randomly,2020-11-26T18:45:38Z,70,4291.123263888889,67.9
7434,60,5498,69,3,3,8,randomly,2020-11-26T18:47:43Z,57,4291.123263888889,66.08333333333333
7434,65,5083,66,3,4,9,randomly,2020-11-26T18:50:04Z,69,4291.123263888889,66.5
7434,70,6458.71875,72.625,3,1,10,randomly,2020-11-26T18:52:00Z,66,4291.123263888889,66.4375
7434,75,2487.5,52.5,3,0,11,randomly,2020-11-26T18:53:31Z,72.625,4291.123263888889,67.125
7434,52,923.5,52.5,3,3,12,randomly,2020-11-26T18:55:36Z,52.5,4291.123263888889,65.6625
7434,50,7200,80,3,1,13,randomly,2020-11-26T18:57:33Z,52.5,4291.123263888889,64.4659090909091
7434,60,2887.5,57.5,3,2,14,randomly,2020-11-26T18:59:38Z,80,4291.123263888889,65.76041666666667
7434,58,5093.5,67.5,3,3,15,randomly,2020-11-26T19:01:33Z,57.5,4291.123263888889,65.125
7434,60,5700,70,3,2,16,randomly,2020-11-26T19:03:32Z,67.5,4291.123263888889,65.29464285714286
7434,65,1275,50,3,2,17,randomly,2020-11-26T19:05:46Z,70,4291.123263888889,65.60833333333333
