oneid,rematching,ave_choice,ave_profit
6884,not,63.611111111111114,4792.944444444444
7434,randomly,63.44444444444444,4291.123263888889
9843,not,70.55555555555556,4264.361111111111
14273,not,60,5020.027777777777
17260,assortatively,70.17647058823529,6119.970588235294
18194,assortatively,78.3076923076923,5650.307692307692
18779,randomly,66.05555555555556,4127.123263888889
20114,randomly,57,4235.166666666667
20320,assortatively,100,4979.5
20425,randomly,66.28571428571429,5357.928571428572
21338,assortatively,64.375,4808.0234375
27919,assortatively,80.44444444444444,5899.888888888889
28610,randomly,66.83333333333333,4155.333333333333
30329,randomly,55.166666666666664,4885.416666666667
32558,assortatively,57.285714285714285,4134.428571428572
32671,assortatively,66.4,4659.566666666667
36709,randomly,53.05555555555556,3644.4166666666665
38308,not,57.361111111111114,1358.1006944444443
38610,not,53.80555555555556,1502.0659722222222
38692,randomly,78.52941176470588,3921.1470588235293
43777,assortatively,66.11764705882354,4394.35294117647
44172,randomly,74.44444444444444,4215.138888888889
45360,randomly,60.05882352941177,2898.6470588235293
48856,assortatively,64.125,4753.9921875
50284,not,51.666666666666664,1662.607638888889
50525,not,63,5467.777777777777
52121,randomly,57.470588235294116,3356.205882352941
53861,not,70.88888888888889,4920.444444444444
59635,not,66,5282.277777777777
64650,randomly,59.588235294117645,3568.6470588235293
69867,randomly,53.666666666666664,3689.0555555555557
82346,randomly,89.5,4350.5
95375,assortatively,57.19444444444444,4678.402777777777
95462,randomly,50,3358.0555555555557
