oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
6884,65,NA,NA,NA,3,1,not,2020-11-26 18:30:35
6884,70,5050,65,3,0,2,not,2020-11-26 18:35:23
6884,65,2575,55,3,0,3,not,2020-11-26 18:37:33
6884,55,3175,60,3,0,4,not,2020-11-26 18:39:33
6884,60,4650,65,3,0,5,not,2020-11-26 18:41:29
6884,60,2250,55,3,0,6,not,2020-11-26 18:43:25
6884,60,5700,70,3,0,7,not,2020-11-26 18:45:28
6884,65,5487,68,3,0,8,not,2020-11-26 18:47:37
6884,65,5683,69,3,0,9,not,2020-11-26 18:49:43
6884,65,3307,58,3,0,10,not,2020-11-26 18:51:34
6884,65,3775,60,3,0,11,not,2020-11-26 18:53:29
6884,65,4875,65,3,0,12,not,2020-11-26 18:55:26
6884,65,5779.5,69.5,3,0,13,not,2020-11-26 18:57:21
6884,65,3775,60,3,0,14,not,2020-11-26 18:59:26
6884,65,5875,70,3,0,15,not,2020-11-26 19:01:22
6884,65,4875,65,3,0,16,not,2020-11-26 19:03:23
6884,65,6515.5,73.5,3,0,17,not,2020-11-26 19:05:21
6884,65,5585.5,68.5,3,0,18,not,2020-11-26 19:07:29
6884,65,5875,70,3,0,19,not,2020-11-26 19:09:24
6884,65,6515.5,73.5,3,0,20,not,2020-11-26 19:11:36
7434,70,NA,NA,NA,1,1,randomly,2020-11-26 18:31:26
7434,70,5818,69,3,4,2,randomly,2020-11-26 18:35:52
7434,80,3028,54,3,1,3,randomly,2020-11-26 18:37:27
7434,55,5155.5,68.5,3,1,4,randomly,2020-11-26 18:39:49
7434,60,7172,78,3,4,5,randomly,2020-11-26 18:41:32
7434,70,6000,70,3,4,6,randomly,2020-11-26 18:43:32
7434,70,3322,57,3,3,7,randomly,2020-11-26 18:45:38
7434,60,5498,69,3,3,8,randomly,2020-11-26 18:47:43
7434,65,5083,66,3,4,9,randomly,2020-11-26 18:50:04
7434,70,6458.71875,72.625,3,1,10,randomly,2020-11-26 18:52:00
7434,75,2487.5,52.5,3,0,11,randomly,2020-11-26 18:53:31
7434,52,923.5,52.5,3,3,12,randomly,2020-11-26 18:55:36
7434,50,7200,80,3,1,13,randomly,2020-11-26 18:57:33
7434,60,2887.5,57.5,3,2,14,randomly,2020-11-26 18:59:38
7434,58,5093.5,67.5,3,3,15,randomly,2020-11-26 19:01:33
7434,60,5700,70,3,2,16,randomly,2020-11-26 19:03:32
7434,65,1275,50,3,2,17,randomly,2020-11-26 19:05:46
7434,65,2575,55,3,2,18,randomly,2020-11-26 19:07:41
7434,62,4193.5,62.5,3,3,19,randomly,2020-11-26 19:09:24
7434,65,3187.5,57.5,3,1,20,randomly,2020-11-26 19:11:28
9843,70,NA,NA,NA,4,1,not,2020-11-26 18:30:30
9843,60,5700,70,3,0,2,not,2020-11-26 18:35:27
9843,50,3437.5,62.5,3,0,3,not,2020-11-26 18:37:18
9843,60,2887.5,57.5,3,0,4,not,2020-11-26 18:39:27
9843,70,4000,60,3,0,5,not,2020-11-26 18:41:35
9843,50,2800,60,3,0,6,not,2020-11-26 18:43:23
9843,80,4300,60,3,0,7,not,2020-11-26 18:45:23
9843,76,4711.5,62.5,3,0,8,not,2020-11-26 18:47:21
9843,78,4753.5,62.5,3,0,9,not,2020-11-26 18:49:34
9843,56,3851.5,62.5,3,0,10,not,2020-11-26 18:51:29
9843,60,4087.5,62.5,3,0,11,not,2020-11-26 18:53:24
9843,70,4537.5,62.5,3,0,12,not,2020-11-26 18:55:25
9843,79,4771.5,62.5,3,0,13,not,2020-11-26 18:57:22
9843,60,4087.5,62.5,3,0,14,not,2020-11-26 18:59:21
9843,80,4787.5,62.5,3,0,15,not,2020-11-26 19:01:25
9843,70,4537.5,62.5,3,0,16,not,2020-11-26 19:03:24
9843,87,4843.5,62.5,3,0,17,not,2020-11-26 19:05:18
9843,77,4733.5,62.5,3,0,18,not,2020-11-26 19:07:32
9843,80,4787.5,62.5,3,0,19,not,2020-11-26 19:09:24
9843,87,4843.5,62.5,3,0,20,not,2020-11-26 19:11:26
14273,80,NA,NA,NA,3,1,not,2020-11-26 18:30:41
14273,70,5050,65,3,0,2,not,2020-11-26 18:36:03
14273,60,2887.5,57.5,3,0,3,not,2020-11-26 18:37:51
14273,60,2887.5,57.5,3,0,4,not,2020-11-26 18:39:47
14273,60,4650,65,3,0,5,not,2020-11-26 18:41:35
14273,60,2250,55,3,0,6,not,2020-11-26 18:43:34
14273,60,5700,70,3,0,7,not,2020-11-26 18:45:44
14273,60,5799.5,70.5,3,0,8,not,2020-11-26 18:47:38
14273,60,5995.5,71.5,3,0,9,not,2020-11-26 18:49:49
14273,60,3619.5,60.5,3,0,10,not,2020-11-26 18:51:28
14273,60,4087.5,62.5,3,0,11,not,2020-11-26 18:53:40
14273,60,5187.5,67.5,3,0,12,not,2020-11-26 18:55:36
14273,60,6092,72,3,0,13,not,2020-11-26 18:57:24
14273,60,4087.5,62.5,3,0,14,not,2020-11-26 18:59:27
14273,60,6187.5,72.5,3,0,15,not,2020-11-26 19:01:26
14273,60,5187.5,67.5,3,0,16,not,2020-11-26 19:03:24
14273,60,6828,76,3,0,17,not,2020-11-26 19:05:25
14273,60,5898,71,3,0,18,not,2020-11-26 19:07:44
14273,60,6187.5,72.5,3,0,19,not,2020-11-26 19:09:53
14273,60,6828,76,3,0,20,not,2020-11-26 19:11:43
17260,79,NA,NA,NA,3,1,assortatively,2020-11-26 18:30:42
17260,88,7523.5,65,2,3,2,assortatively,2020-11-26 18:35:24
17260,70,8800,80,2,3,3,assortatively,2020-11-26 18:37:24
17260,71,5561.5,67.5,3,2,4,assortatively,2020-11-26 18:39:29
17260,71,4675,63,3,2,5,assortatively,2020-11-26 18:41:24
17260,70,7385.5,78.5,3,2,6,assortatively,2020-11-26 18:43:24
17260,70,3665.5,58.5,3,1,7,assortatively,2020-11-26 18:45:19
17260,70,6850,75,3,2,8,assortatively,2020-11-26 18:47:27
17260,70,7872,82,3,2,9,assortatively,2020-11-26 18:49:23
17260,70,8992,92,3,2,10,assortatively,2020-11-26 18:51:35
17260,70,2362,53,3,1,11,assortatively,2020-11-26 18:53:46
17260,72,8607.5,88.5,3,1,12,assortatively,2020-11-26 18:55:27
17260,71,6367,72,3,1,13,assortatively,2020-11-26 18:57:17
17260,70,6000,70,3,0,14,assortatively,2020-11-26 18:59:38
17260,70,7805.5,81.5,3,1,15,assortatively,2020-11-26 19:01:19
17260,71,6451.5,72.5,3,1,16,assortatively,2020-11-26 19:03:31
17260,66,8010,83,3,1,17,assortatively,2020-11-26 19:05:30
17260,72,4290,61,3,0,18,assortatively,2020-11-26 19:07:19
17260,70,4537.5,62.5,3,1,19,assortatively,2020-11-26 19:09:29
17260,69,4607,63,3,1,20,assortatively,2020-11-26 19:11:32
18194,60,NA,NA,NA,2,1,assortatively,2020-11-26 18:30:29
18194,56,4434,65,3,2,2,assortatively,2020-11-26 18:35:26
18194,59,2821.5,57.5,3,0,3,assortatively,2020-11-26 18:37:26
18194,50,4637.5,67.5,3,0,4,assortatively,2020-11-26 18:39:23
18194,68,3460,58,3,0,5,assortatively,2020-11-26 18:41:37
18194,77,6871,75,3,2,6,assortatively,2020-11-26 18:43:31
18194,66,6361.5,72.5,3,2,7,assortatively,2020-11-26 18:45:53
18194,70,6850,75,3,2,8,assortatively,2020-11-26 18:47:35
18194,79,7201.5,77.5,3,2,9,assortatively,2020-11-26 18:49:40
18194,99,6541.5,77.5,3,2,10,assortatively,2020-11-26 18:51:33
18194,60,9450,90,2,2,11,assortatively,2020-11-26 18:53:33
18194,99,6299,75,3,1,12,assortatively,2020-11-26 18:55:26
18194,99,7539,90,2,2,13,assortatively,2020-11-26 18:57:30
18194,70,8537.5,75,2,2,14,assortatively,2020-11-26 19:00:03
18194,98,5453.5,67.5,3,1,15,assortatively,2020-11-26 19:01:47
18194,67,6727.5,74.5,3,1,16,assortatively,2020-11-26 19:03:29
