oneid,choice,profit,ave_other,size,whichgroup,round,rematching,time
4830,75,,,,2,1,not,2021-03-31 12:30:22
4830,70,6437.5,72.5,3,0,2,not,2021-03-31 12:35:24
4830,75,6075,70,3,0,3,not,2021-03-31 12:37:30
4830,70,6437.5,72.5,3,0,4,not,2021-03-31 12:39:24
4830,70,6437.5,72.5,3,0,5,not,2021-03-31 12:41:32
4830,70,6000,70,3,0,6,not,2021-03-31 12:43:24
4830,75,6875,75,3,0,7,not,2021-03-31 12:45:25
4830,70,6850,75,3,0,8,not,2021-03-31 12:47:25
4830,75,6487.5,72.5,3,0,9,not,2021-03-31 12:49:19
4830,70,6437.5,72.5,3,0,10,not,2021-03-31 12:51:21
4830,75,6875,75,3,0,11,not,2021-03-31 12:53:35
4830,75,6875,75,3,0,12,not,2021-03-31 12:55:28
4830,75,6875,75,3,0,13,not,2021-03-31 12:57:30
4830,80,6850,75,3,0,14,not,2021-03-31 12:59:28
4830,75,7237.5,77.5,3,0,15,not,2021-03-31 13:01:37
4830,75,7237.5,77.5,3,0,16,not,2021-03-31 13:03:25
4830,75,6875,75,3,0,17,not,2021-03-31 13:07:07
4830,75,7575,80,3,0,18,not,2021-03-31 13:07:26
4830,75,7575,80,3,0,19,not,2021-03-31 13:09:45
4830,70,7600,80,3,0,20,not,2021-03-31 13:11:35
9535,75,,,,1,1,not,2021-03-31 12:31:12
9535,85,5275,65,3,0,2,not,2021-03-31 12:35:23
9535,75,6075,70,3,0,3,not,2021-03-31 12:37:25
9535,75,6075,70,3,0,4,not,2021-03-31 12:39:22
9535,75,6075,70,3,0,5,not,2021-03-31 12:41:31
9535,70,6000,70,3,0,6,not,2021-03-31 12:43:22
9535,80,6487.5,72.5,3,0,7,not,2021-03-31 12:45:43
9535,80,6100,70,3,0,8,not,2021-03-31 12:47:27
9535,75,6487.5,72.5,3,0,9,not,2021-03-31 12:49:28
9535,75,6075,70,3,0,10,not,2021-03-31 12:51:22
9535,75,6875,75,3,0,11,not,2021-03-31 12:53:20
9535,75,6875,75,3,0,12,not,2021-03-31 12:55:15
9535,75,6875,75,3,0,13,not,2021-03-31 12:57:14
9535,75,7237.5,77.5,3,0,14,not,2021-03-31 12:59:15
9535,80,6850,75,3,0,15,not,2021-03-31 13:01:16
9535,80,6850,75,3,0,16,not,2021-03-31 13:03:24
9535,75,6875,75,3,0,17,not,2021-03-31 13:05:17
9535,85,6775,75,3,0,18,not,2021-03-31 13:07:33
9535,80,7187.5,77.5,3,0,19,not,2021-03-31 13:09:21
9535,80,6850,75,3,0,20,not,2021-03-31 13:11:18
10403,80,,,,4,1,assortatively,2021-03-31 12:30:45
10403,80,7187.5,77.5,3,5,2,assortatively,2021-03-31 12:36:15
10403,75,1875,50,3,5,3,assortatively,2021-03-31 12:38:08
10403,75,6487.5,72.5,3,5,4,assortatively,2021-03-31 12:39:29
10403,75,4687.5,62.5,3,5,5,assortatively,2021-03-31 12:41:31
10403,75,5637.5,67.5,3,5,6,assortatively,2021-03-31 12:43:43
10403,75,5637.5,67.5,3,5,7,assortatively,2021-03-31 12:45:37
10403,65,9775,-1,1,6,8,assortatively,2021-03-31 12:47:52
10403,50,6737.5,77.5,3,5,9,assortatively,2021-03-31 12:49:53
10403,65,1275,50,3,1,10,assortatively,2021-03-31 12:51:56
10403,65,4337.5,62.5,3,5,11,assortatively,2021-03-31 12:54:01
10403,65,3187.5,57.5,3,5,12,assortatively,2021-03-31 12:56:01
10403,65,2575,55,3,5,13,assortatively,2021-03-31 12:58:26
10403,60,4202,63,3,4,14,assortatively,2021-03-31 13:00:32
10403,60,4087.5,62.5,3,4,15,assortatively,2021-03-31 13:02:29
10403,65,3307,58,3,4,16,assortatively,2021-03-31 13:04:02
10403,65,2575,55,3,4,17,assortatively,2021-03-31 13:05:58
10403,65,5683,69,3,5,18,assortatively,2021-03-31 13:07:45
10403,65,4337.5,62.5,3,4,19,assortatively,2021-03-31 13:09:13
10403,67,3871,60,3,4,20,assortatively,2021-03-31 13:11:11
13221,60,,,,1,1,not,2021-03-31 12:32:07
13221,60,7087.5,77.5,3,0,2,not,2021-03-31 12:35:31
13221,65,6775,75,3,0,3,not,2021-03-31 12:37:38
13221,70,6437.5,72.5,3,0,4,not,2021-03-31 12:39:22
13221,70,6437.5,72.5,3,0,5,not,2021-03-31 12:41:19
13221,70,6000,70,3,0,6,not,2021-03-31 12:43:37
13221,70,7237.5,77.5,3,0,7,not,2021-03-31 12:45:18
13221,70,6850,75,3,0,8,not,2021-03-31 12:47:28
13221,70,6850,75,3,0,9,not,2021-03-31 12:49:13
13221,70,6437.5,72.5,3,0,10,not,2021-03-31 12:51:14
13221,75,6875,75,3,0,11,not,2021-03-31 12:53:17
13221,75,6875,75,3,0,12,not,2021-03-31 12:55:18
13221,75,6875,75,3,0,13,not,2021-03-31 12:57:22
13221,75,7237.5,77.5,3,0,14,not,2021-03-31 12:59:23
13221,75,7237.5,77.5,3,0,15,not,2021-03-31 13:01:16
13221,75,7237.5,77.5,3,0,16,not,2021-03-31 13:03:21
13221,75,6875,75,3,0,17,not,2021-03-31 13:05:13
13221,75,7575,80,3,0,18,not,2021-03-31 13:07:18
13221,80,7187.5,77.5,3,0,19,not,2021-03-31 13:09:12
13221,80,6850,75,3,0,20,not,2021-03-31 13:11:26
13956,55,,,,1,1,assortatively,2021-03-31 12:33:08
13956,56,2611.5,57.5,3,3,2,assortatively,2021-03-31 12:35:26
13956,58,6400,74,3,2,3,assortatively,2021-03-31 12:38:08
13956,60,3500,60,3,2,4,assortatively,2021-03-31 12:39:56
13956,65,2449.5,54.5,3,2,5,assortatively,2021-03-31 12:41:35
13956,58,2497.5,56.5,3,4,6,assortatively,2021-03-31 12:43:58
13956,56,3367.5,60.5,3,3,7,assortatively,2021-03-31 12:45:28
13956,58,2497.5,56.5,3,3,8,assortatively,2021-03-31 12:47:38
13956,56,1684,54,3,4,9,assortatively,2021-03-31 12:49:44
13956,60,1722,53,3,3,10,assortatively,2021-03-31 12:51:32
13956,57,2163.5,55.5,3,4,11,assortatively,2021-03-31 12:53:28
13956,59,1915,54,3,3,12,assortatively,2021-03-31 12:55:26
13956,55,4025.5,63.5,3,4,13,assortatively,2021-03-31 12:57:19
13956,60,1039.5,50.5,3,2,14,assortatively,2021-03-31 12:59:27
13956,55,1637.21875,54.125,3,3,15,assortatively,2021-03-31 13:01:34
13956,57,2683.5,57.5,3,3,16,assortatively,2021-03-31 13:03:34
13956,54,1657.5,54.5,3,2,17,assortatively,2021-03-31 13:05:53
13956,58,1018,51,3,2,18,assortatively,2021-03-31 13:07:23
13956,55,2795.5,58.5,3,3,19,assortatively,2021-03-31 13:10:28
13956,56,1271.5,52.5,3,2,20,assortatively,2021-03-31 13:11:23
14553,50,,,,3,1,randomly,2021-03-31 12:30:39
14553,50,6925.5,57,2,4,2,randomly,2021-03-31 12:35:26
14553,50,4050,65,3,0,3,randomly,2021-03-31 12:37:35
14553,50,1309.5,54.5,3,2,4,randomly,2021-03-31 12:39:35
14553,50,1309.5,54.5,3,3,5,randomly,2021-03-31 12:41:24
14553,50,1025.5,53.5,3,3,6,randomly,2021-03-31 12:43:29
14553,50,1450,55,3,2,7,randomly,2021-03-31 12:45:24
